run_id,created_at,updated_at,status,system_type,scenario,root_step_id,user_id,tags
3034d385-3d56-40fe-84f1-49c00ced0b62,2026-01-25T19:41:22.661950+00:00,2026-01-25T19:41:27.423950+00:00,completed,claude,ad_copy_writing,a5731ebf-e5e2-4ef2-93bf-4ed381b89c95,poc-user-03,"[""ad_copy_writing"", ""claude"", ""generated""]"
a768d0e7-b3f8-45b0-8830-bb4741477ecd,2026-01-25T10:11:16.661950+00:00,2026-01-25T10:11:28.785950+00:00,completed,claude,research_summarizer,bf785e0a-033f-42c3-b1f4-35077b54505d,poc-user-02,"[""research_summarizer"", ""claude"", ""generated""]"
c4cfd290-51c4-4066-b998-9ab783bc1a8a,2026-01-24T12:14:26.661950+00:00,2026-01-24T12:14:32.128950+00:00,completed,mock,database_migration,56204288-6281-4699-8b25-d99a87ccb582,poc-user-04,"[""database_migration"", ""mock"", ""generated""]"
814b33c0-936e-4f80-b7b8-53fe241d3728,2026-01-23T18:22:54.661950+00:00,2026-01-23T18:22:56.973950+00:00,completed,other,text_classification,649df30b-31b9-46de-8d15-b14cc1258db8,poc-user-02,"[""text_classification"", ""openai"", ""generated""]"
e03345f2-4a5b-4516-be12-c7640aa90908,2026-01-23T16:13:24.661950+00:00,2026-01-23T16:13:35.329950+00:00,completed,claude,travel_itinerary,0db46cb9-2722-432b-97d5-b2f8bce18e41,poc-user-03,"[""travel_itinerary"", ""claude"", ""generated""]"
1b648bde-6515-4cb2-8215-9783e2329c84,2026-01-25T13:42:51.661950+00:00,2026-01-25T13:42:59.627950+00:00,completed,other,data_backup_verify,0a9852d9-8afa-4e3a-9756-d19507a074f0,poc-user-05,"[""data_backup_verify"", ""openai"", ""generated""]"
1c1501dc-a924-4527-9498-d62ad5b2e7a2,2026-01-23T17:04:32.661950+00:00,2026-01-23T17:04:43.841950+00:00,completed,openclaw,schema_optimization,bb7c2ee5-d8e6-427f-a05d-d533f2a1818d,poc-user-08,"[""schema_optimization"", ""openclaw"", ""generated""]"
ae8b5ac2-54b9-40d1-89e6-386327bbfce2,2026-01-25T03:32:04.661950+00:00,2026-01-25T03:32:21.899950+00:00,completed,openclaw,contract_review,e4b6c253-96b8-426a-a31f-4f6df1109e7e,poc-user-06,"[""contract_review"", ""openclaw"", ""generated""]"
31b97450-9b64-401e-97a4-05abb1e5a0ef,2026-01-25T15:18:16.661950+00:00,2026-01-25T15:18:29.975950+00:00,completed,claude,test_generation,13c49ca1-ac7a-4bd7-b2c9-cbd715482659,poc-user-04,"[""test_generation"", ""claude"", ""generated""]"
8632fed3-9360-4417-9d41-be1e2baca8ad,2026-01-23T05:54:50.661950+00:00,2026-01-23T05:55:01.798950+00:00,completed,other,etl_pipeline,6e50ccd8-f8ee-4ea8-8111-e151b108473c,poc-user-04,"[""etl_pipeline"", ""openai"", ""generated""]"
ee962eb7-d858-44ab-b9f6-58eedcac727f,2026-01-24T17:49:24.661950+00:00,2026-01-24T17:49:32.186950+00:00,completed,other,performance_review,67cd549d-8b96-476d-a940-960b55cd2b6d,poc-user-02,"[""performance_review"", ""openai"", ""generated""]"
d283030d-c6a1-443f-8c56-5208d9e97b24,2026-01-23T20:53:45.661950+00:00,2026-01-23T20:53:57.859950+00:00,completed,other,travel_itinerary,f0d1f436-c5f5-4134-8c18-ab97780013b7,poc-user-02,"[""travel_itinerary"", ""openai"", ""generated""]"
8536b7d2-02a4-460f-aaa3-a8c1aad33f6e,2026-01-23T21:34:32.661950+00:00,2026-01-23T21:34:39.175950+00:00,completed,other,proposal_generation,eb133435-09c7-45fd-9fd0-9341fe8eac1d,poc-user-08,"[""proposal_generation"", ""openai"", ""generated""]"
436c525e-25f1-4716-9e16-c5a5e6559169,2026-01-23T17:56:02.661950+00:00,2026-01-23T17:56:08.635950+00:00,completed,claude,translation,854907c0-915f-40b8-88e3-45be0c7d1cd7,poc-user-03,"[""translation"", ""claude"", ""generated""]"
4b70b55c-b144-4f26-bbf7-f5a18e1fe8f3,2026-01-23T05:42:18.661950+00:00,2026-01-23T05:42:26.401950+00:00,completed,other,log_analysis,8db44dd9-995d-47c4-bddd-b6378919e18f,poc-user-07,"[""log_analysis"", ""openai"", ""generated""]"
d441aa7e-61b2-4844-9e05-e87d49fd197f,2026-01-25T08:28:23.661950+00:00,2026-01-25T08:28:26.655950+00:00,completed,mock,expense_report,4151dc66-4379-4c28-96ea-27919b08740f,poc-user-06,"[""expense_report"", ""mock"", ""generated""]"
852bd1fb-6248-4f99-9c3d-38571a63d116,2026-01-25T13:57:19.661950+00:00,2026-01-25T13:57:31.362950+00:00,completed,openclaw,complaint_resolution,3f241d7c-c7e1-4ef6-b054-53b3e513121e,poc-user-03,"[""complaint_resolution"", ""openclaw"", ""generated""]"
75685359-2471-4cb8-ad1b-a67eafd7001d,2026-01-23T13:19:10.661950+00:00,2026-01-23T13:19:16.687950+00:00,completed,other,refund_processing,797c531c-304a-458e-8163-581241595e98,poc-user-10,"[""refund_processing"", ""openai"", ""generated""]"
27d55181-b4e3-4c0d-94b2-85a035314246,2026-01-25T12:40:01.661950+00:00,2026-01-25T12:40:08.221950+00:00,completed,other,sql_query_generation,6b10b0cc-97ce-4b18-88a6-02115a4e1626,poc-user-04,"[""sql_query_generation"", ""openai"", ""generated""]"
fef6db73-89c4-4074-ae57-50984411dc40,2026-01-23T20:46:20.661950+00:00,2026-01-23T20:46:24.601950+00:00,completed,mock,data_quality_audit,f8adfca9-631c-4b71-8c6d-9979be8c6429,poc-user-07,"[""data_quality_audit"", ""mock"", ""generated""]"
64ab47a1-d535-4614-a174-30bb5326f9c1,2026-01-25T15:07:08.661950+00:00,2026-01-25T15:07:20.920950+00:00,failed,other,contract_review,16633ac8-e1bf-4d86-bbe4-7f872a3cf118,poc-user-04,"[""contract_review"", ""openai"", ""generated""]"
4fe562a5-01f0-41e7-bc1b-25a807ffbe62,2026-01-23T13:46:39.661950+00:00,2026-01-23T13:46:42.464950+00:00,completed,openclaw,text_classification,64055718-be61-4200-825c-4b93bfe53814,poc-user-03,"[""text_classification"", ""openclaw"", ""generated""]"
0494b219-b21b-4c0a-beb2-b178e2b63816,2026-01-23T13:43:49.661950+00:00,2026-01-23T13:43:57.801950+00:00,completed,other,price_comparison,bcecf7d9-9785-49a5-bfcf-933d815bf632,poc-user-05,"[""price_comparison"", ""openai"", ""generated""]"
8f09fef7-bc57-47db-87f5-b75ecadb940f,2026-01-23T20:41:16.661950+00:00,2026-01-23T20:41:22.141950+00:00,completed,mock,code_debug,96cc3022-34ec-48ed-8243-efbdc69c9bf6,poc-user-01,"[""code_debug"", ""mock"", ""generated""]"
393c2f3b-fdf5-4b0f-8867-cec39b1f97f2,2026-01-24T08:47:55.661950+00:00,2026-01-24T08:47:59.838950+00:00,completed,mock,fraud_detection,117ad8e9-bb97-445b-bb69-6dbbff746787,poc-user-06,"[""fraud_detection"", ""mock"", ""generated""]"
c6fb834a-75e3-4d76-89cd-01f00527dd00,2026-01-23T11:28:48.661950+00:00,2026-01-23T11:28:54.058950+00:00,completed,mock,flight_booking,91fb214d-3f87-4305-8943-dd337aaabf71,poc-user-09,"[""flight_booking"", ""mock"", ""generated""]"
ddbb07b7-07d8-4e6b-bfa6-a1dbdd4f085b,2026-01-23T20:07:03.661950+00:00,2026-01-23T20:07:10.166950+00:00,completed,other,proposal_generation,9f9f418d-db77-4d35-a45e-ade9ee637140,poc-user-02,"[""proposal_generation"", ""openai"", ""generated""]"
3028f8cd-00b1-419d-9ed1-c135836956fe,2026-01-23T23:30:02.661950+00:00,2026-01-23T23:30:08.494950+00:00,completed,other,refund_processing,99356a45-79c4-4b1d-a125-e0f695ce23d6,poc-user-09,"[""refund_processing"", ""openai"", ""generated""]"
dcca5deb-3772-495e-9ee6-05777f7ced36,2026-01-23T09:22:09.661950+00:00,2026-01-23T09:22:13.576950+00:00,completed,other,social_media_posting,91b04920-233c-4372-951f-e4d502e50c96,poc-user-05,"[""social_media_posting"", ""openai"", ""generated""]"
7ecd24e0-0c5a-4abb-bb58-76a39b0b635b,2026-01-25T14:43:52.661950+00:00,2026-01-25T14:44:00.036950+00:00,completed,other,infra_monitoring,742202ff-4de1-4ef2-a0ad-36dd15c99014,poc-user-03,"[""infra_monitoring"", ""openai"", ""generated""]"
6af4c540-b077-4daa-b8e3-172e9c731ed0,2026-01-23T10:05:59.661950+00:00,2026-01-23T10:06:11.956950+00:00,completed,other,patent_search,a5d27907-8b56-4596-8ea7-fa426f4ae95e,poc-user-05,"[""patent_search"", ""openai"", ""generated""]"
afbf8b04-a914-43e9-b18e-78afc514ad36,2026-01-23T10:23:32.661950+00:00,2026-01-23T10:23:40.534950+00:00,completed,other,price_comparison,c9c9ae8a-b719-469d-950c-042ffad27f5f,poc-user-08,"[""price_comparison"", ""openai"", ""generated""]"
6b056141-154c-4f93-829f-49db34d8fa41,2026-01-23T08:34:31.661950+00:00,2026-01-23T08:34:36.432950+00:00,completed,other,lead_scoring,b32b696b-d8e9-47d4-86d6-57b09c054127,poc-user-05,"[""lead_scoring"", ""openai"", ""generated""]"
0a2d63d2-c023-46cf-9406-2464fe485f38,2026-01-23T13:44:43.661950+00:00,2026-01-23T13:44:50.187950+00:00,completed,other,invoice_processing,29ea9618-68e2-47fc-af28-af365930ad6b,poc-user-03,"[""invoice_processing"", ""openai"", ""generated""]"
9debe70f-d48a-4225-8cd6-38a7068463a0,2026-01-24T14:54:06.661950+00:00,2026-01-24T14:54:13.165950+00:00,completed,claude,onboarding_workflow,ac0774bf-6231-414f-bd97-3c6cf8904a17,poc-user-06,"[""onboarding_workflow"", ""claude"", ""generated""]"
b0877e6e-101b-4a47-8021-941f4406d9e4,2026-01-23T18:21:38.661950+00:00,2026-01-23T18:21:45.677950+00:00,completed,claude,onboarding_workflow,a9e8dfb6-9f53-4187-aae8-5785285d0648,poc-user-09,"[""onboarding_workflow"", ""claude"", ""generated""]"
0276cedb-1841-48f8-969f-30c23153cfd0,2026-01-23T11:05:38.661950+00:00,2026-01-23T11:05:50.001950+00:00,completed,other,travel_itinerary,9e47dba5-7a58-40c2-8fcf-411acf3b3e0f,poc-user-10,"[""travel_itinerary"", ""openai"", ""generated""]"
3997049d-b568-4674-87f0-6919ca38e5c8,2026-01-26T21:12:30.661950+00:00,2026-01-26T21:12:37.822950+00:00,completed,claude,log_analysis,b58f10b2-40b9-499e-887b-75c6a046cd26,poc-user-08,"[""log_analysis"", ""claude"", ""generated""]"
2ad4e0c3-9c33-46a0-bc0d-2eec9ccc2e74,2026-01-23T09:09:45.661950+00:00,2026-01-23T09:09:56.245950+00:00,completed,claude,legal_document_analysis,25fba060-10e9-48b5-8eb3-4afa8c746293,poc-user-09,"[""legal_document_analysis"", ""claude"", ""generated""]"
236a69bd-8654-4f74-8d78-9bd842971bac,2026-01-25T11:29:49.661950+00:00,2026-01-25T11:30:01.052950+00:00,completed,openclaw,schema_optimization,bdb4fc56-50fd-4065-a2a4-9cf1014e009b,poc-user-03,"[""schema_optimization"", ""openclaw"", ""generated""]"
c1a5fbf2-7816-4f8d-a3da-1c3a6627ac0a,2026-01-26T12:29:14.661950+00:00,2026-01-26T12:29:27.498950+00:00,completed,other,incident_response,3e43171f-dd92-4d74-821e-ca5c49070261,poc-user-03,"[""incident_response"", ""openai"", ""generated""]"
326ebf45-70f0-4a72-a5cb-c9e20a676338,2026-01-26T11:38:08.661950+00:00,2026-01-26T11:38:22.055950+00:00,completed,other,report_generation,1feef706-a1d8-4621-a4e0-1628b075154d,poc-user-08,"[""report_generation"", ""openai"", ""generated""]"
19cca548-95d8-47fc-ba3b-3675d1c8fc46,2026-01-26T07:49:34.661950+00:00,2026-01-26T07:49:43.303950+00:00,completed,other,api_documentation,e7bb311d-9ce6-405c-878a-0356726711f3,poc-user-04,"[""api_documentation"", ""openai"", ""generated""]"
7abeb58d-2443-4f17-808a-16523507cad3,2026-01-26T10:34:10.661950+00:00,2026-01-26T10:34:29.125950+00:00,completed,openclaw,security_scan,c2650bd1-0e9a-4f3e-9082-c987127f51ae,poc-user-10,"[""security_scan"", ""openclaw"", ""generated""]"
34f1e498-a0aa-4232-917d-ee56cb390c23,2026-01-25T15:44:22.661950+00:00,2026-01-25T15:44:32.346950+00:00,completed,claude,code_review,a0d61dbf-4609-4fb5-b80c-bb9f7961a284,poc-user-04,"[""code_review"", ""claude"", ""generated""]"
e512569e-1351-4ad9-bf3a-bff75e5e8af1,2026-01-23T00:30:04.661950+00:00,2026-01-23T00:30:14.893950+00:00,completed,other,code_review,14b8ae23-5b6a-48c4-89d4-27a2959f9204,poc-user-07,"[""code_review"", ""openai"", ""generated""]"
554a1824-7007-4862-a7be-5e0ecd4e3bc7,2026-01-24T17:15:17.661950+00:00,2026-01-24T17:15:27.601950+00:00,completed,other,compliance_check,c7cf19a5-bed0-40e2-85d5-a895d71825b7,poc-user-02,"[""compliance_check"", ""openai"", ""generated""]"
c8455391-8d21-4f84-bc82-11bd4ed34f6f,2026-01-23T09:02:59.661950+00:00,2026-01-23T09:03:07.807950+00:00,completed,claude,complaint_resolution,276b102f-3940-41b2-afac-3bf71653797e,poc-user-01,"[""complaint_resolution"", ""claude"", ""generated""]"
b8585c03-fdd2-4517-b4c2-6bb2bde84ef5,2026-01-23T13:22:33.661950+00:00,2026-01-23T13:22:45.705950+00:00,completed,openclaw,hotel_reservation,efda037f-66f0-46df-8e92-f2527c748c87,poc-user-09,"[""hotel_reservation"", ""openclaw"", ""generated""]"
563559e6-aad5-438d-a2db-637df36f7324,2026-01-23T03:23:24.661950+00:00,2026-01-23T03:23:33.081950+00:00,completed,claude,hotel_reservation,20ce801d-77d7-4e5d-b879-e4c6648f33dd,poc-user-08,"[""hotel_reservation"", ""claude"", ""generated""]"
41b0c030-eaf2-4762-9fb7-848fd2d5137d,2026-01-24T14:19:47.661950+00:00,2026-01-24T14:19:53.515950+00:00,completed,claude,translation,0618aa34-8576-4639-a83b-9624e4af1a6b,poc-user-05,"[""translation"", ""claude"", ""generated""]"
